index,viscosity,T,3d,4d,5d,CaO,Al2O3,SiO2,CaF2,MgO,OBforCaO,OBforAl2O3,OBforSiO2,OBforCaF2,OBforMgO
48,2.1,1873,1,0,0,0.539,0.059,0.402,0.0,0.0,1,0.605,0.48,0.0,0.0
199,5.61,1773,0,1,0,0.265,0.117,0.396,0.0,0.222,1,0.605,0.48,0.0,0.78
331,23.8,1623,0,1,0,0.312,0.057,0.486,0.0,0.145,1,0.605,0.48,0.0,0.78
249,8.12,1723,0,1,0,0.2,0.055,0.467,0.0,0.278,1,0.605,0.48,0.0,0.78
54,4.0,1823,1,0,0,0.608,0.392,0.0,0.0,0.0,1,0.605,0.0,0.0,0.0
326,32.2,1623,0,1,0,0.157,0.115,0.438,0.0,0.29,1,0.605,0.48,0.0,0.78
218,3.51,1823,0,1,0,0.441,0.115,0.343,0.0,0.102,1,0.605,0.48,0.0,0.78
378,0.54,1873,0,0,1,0.638,0.146,0.075,0.03,0.111,1,0.605,0.48,1.2,0.78
281,14.4,1673,0,1,0,0.26,0.086,0.437,0.0,0.217,1,0.605,0.48,0.0,0.78
398,0.57,1863,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
348,1.39,1773,0,0,1,0.53,0.178,0.129,0.083,0.08,1,0.605,0.48,1.2,0.78
321,28.8,1623,0,1,0,0.38,0.089,0.455,0.0,0.075,1,0.605,0.48,0.0,0.78
418,1.12,1803,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
190,2.81,1773,0,1,0,0.298,0.055,0.371,0.0,0.276,1,0.605,0.48,0.0,0.78
79,27.1,1773,1,0,0,0.358,0.197,0.445,0.0,0.0,1,0.605,0.48,0.0,0.0
235,5.92,1723,0,1,0,0.305,0.056,0.427,0.0,0.212,1,0.605,0.48,0.0,0.78
137,0.4,1873,1,0,0,0.48,0.135,0.0,0.385,0.0,1,0.605,0.0,1.2,0.0
292,24.3,1673,0,1,0,0.209,0.086,0.487,0.0,0.218,1,0.605,0.48,0.0,0.78
242,12.5,1723,0,1,0,0.157,0.115,0.438,0.0,0.29,1,0.605,0.48,0.0,0.78
209,3.82,1733,0,1,0,0.408,0.068,0.364,0.0,0.16,1,0.605,0.48,0.0,0.78
389,0.81,1873,0,0,1,0.599,0.15,0.153,0.023,0.076,1,0.605,0.48,1.2,0.78
297,5.26,1673,0,1,0,0.355,0.056,0.378,0.0,0.211,1,0.605,0.48,0.0,0.78
404,1.87,1843,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
188,2.98,1773,0,1,0,0.413,0.057,0.386,0.0,0.144,1,0.605,0.48,0.0,0.78
168,4.58,1773,0,1,0,0.363,0.057,0.436,0.0,0.144,1,0.605,0.48,0.0,0.78
406,0.65,1843,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
409,1.16,1833,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
339,1.09,1773,0,0,1,0.604,0.15,0.085,0.082,0.079,1,0.605,0.48,1.2,0.78
60,6.2,1823,1,0,0,0.453,0.124,0.423,0.0,0.0,1,0.605,0.48,0.0,0.0
206,5.8,1733,0,1,0,0.441,0.115,0.343,0.0,0.102,1,0.605,0.48,0.0,0.78
85,14.3,1773,1,0,0,0.389,0.092,0.519,0.0,0.0,1,0.605,0.48,0.0,0.0
423,1.03,1793,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
31,64.9,1714,1,0,0,0.35,0.15,0.5,0.0,0.0,1,0.605,0.48,0.0,0.0
17,38.4,1765,1,0,0,0.35,0.15,0.5,0.0,0.0,1,0.605,0.48,0.0,0.0
33,36.4,1714,1,0,0,0.4,0.15,0.45,0.0,0.0,1,0.605,0.48,0.0,0.0
332,20.9,1623,0,1,0,0.255,0.056,0.476,0.0,0.213,1,0.605,0.48,0.0,0.78
126,70.9,1673,1,0,0,0.342,0.125,0.532,0.0,0.0,1,0.605,0.48,0.0,0.0
6,11.8,1816,1,0,0,0.4,0.1,0.5,0.0,0.0,1,0.605,0.48,0.0,0.0
204,3.99,1733,0,1,0,0.431,0.087,0.336,0.0,0.147,1,0.605,0.48,0.0,0.78
277,8.79,1673,0,1,0,0.305,0.056,0.427,0.0,0.212,1,0.605,0.48,0.0,0.78
337,1.97,1773,0,0,1,0.46,0.147,0.22,0.024,0.149,1,0.605,0.48,1.2,0.78
35,1.6,1923,1,0,0,0.646,0.355,0.0,0.0,0.0,1,0.605,0.0,0.0,0.0
155,3.12,1773,0,1,0,0.408,0.068,0.364,0.0,0.16,1,0.605,0.48,0.0,0.78
138,1.35,1873,1,0,0,0.314,0.446,0.0,0.239,0.0,1,0.605,0.0,1.2,0.0
330,27.1,1623,0,1,0,0.372,0.058,0.496,0.0,0.074,1,0.605,0.48,0.0,0.78
198,6.94,1773,0,1,0,0.325,0.119,0.405,0.0,0.151,1,0.605,0.48,0.0,0.78
305,17.92,1673,0,1,0,0.388,0.122,0.413,0.0,0.077,1,0.605,0.48,0.0,0.78
239,9.45,1723,0,1,0,0.26,0.086,0.437,0.0,0.217,1,0.605,0.48,0.0,0.78
294,8.33,1673,0,1,0,0.539,0.059,0.402,0.0,0.0,1,0.605,0.48,0.0,0.0
307,12.83,1673,0,1,0,0.265,0.117,0.396,0.0,0.222,1,0.605,0.48,0.0,0.78
196,8.32,1773,0,1,0,0.453,0.125,0.423,0.0,0.0,1,0.605,0.48,0.0,0.0
275,10.6,1673,0,1,0,0.423,0.058,0.445,0.0,0.074,1,0.605,0.48,0.0,0.78
116,13.2,1673,1,0,0,0.497,0.091,0.412,0.0,0.0,1,0.605,0.48,0.0,0.0
146,3.29,1773,1,0,0,0.439,0.415,0.0,0.146,0.0,1,0.605,0.0,1.2,0.0
233,6.97,1723,0,1,0,0.423,0.058,0.445,0.0,0.074,1,0.605,0.48,0.0,0.78
435,1.81,1753,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
113,31.7,1673,1,0,0,0.416,0.196,0.388,0.0,0.0,1,0.605,0.48,0.0,0.0
258,8.09,1723,0,1,0,0.432,0.089,0.403,0.0,0.075,1,0.605,0.48,0.0,0.78
346,1.6,1773,0,0,1,0.543,0.201,0.088,0.085,0.082,1,0.605,0.48,1.2,0.78
208,4.92,1733,0,1,0,0.405,0.087,0.361,0.0,0.147,1,0.605,0.48,0.0,0.78
37,3.3,1923,1,0,0,0.394,0.361,0.245,0.0,0.0,1,0.605,0.48,0.0,0.0
415,0.78,1813,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
77,8.32,1773,1,0,0,0.453,0.125,0.423,0.0,0.0,1,0.605,0.48,0.0,0.0
368,1.1,1823,0,0,1,0.53,0.178,0.129,0.083,0.08,1,0.605,0.48,1.2,0.78
153,5.15,1773,0,1,0,0.385,0.106,0.36,0.0,0.149,1,0.605,0.48,0.0,0.78
340,1.81,1773,0,0,1,0.578,0.145,0.098,0.033,0.146,1,0.605,0.48,1.2,0.78
216,2.44,1823,0,1,0,0.431,0.087,0.336,0.0,0.147,1,0.605,0.48,0.0,0.78
9,30.5,1791,1,0,0,0.35,0.1,0.55,0.0,0.0,1,0.605,0.48,0.0,0.0
103,41.0,1723,1,0,0,0.35,0.16,0.49,0.0,0.0,1,0.605,0.48,0.0,0.0
344,1.19,1773,0,0,1,0.57,0.179,0.087,0.084,0.081,1,0.605,0.48,1.2,0.78
278,19.4,1673,0,1,0,0.443,0.091,0.465,0.0,0.0,1,0.605,0.48,0.0,0.0
345,1.61,1773,0,0,1,0.612,0.191,0.076,0.042,0.08,1,0.605,0.48,1.2,0.78
369,1.02,1823,0,0,1,0.599,0.15,0.153,0.023,0.076,1,0.605,0.48,1.2,0.78
200,3.0,1773,0,1,0,0.485,0.089,0.352,0.0,0.075,1,0.605,0.48,0.0,0.78
342,1.11,1773,0,0,1,0.581,0.179,0.076,0.083,0.081,1,0.605,0.48,1.2,0.78
320,33.1,1623,0,1,0,0.443,0.091,0.465,0.0,0.0,1,0.605,0.48,0.0,0.0
407,0.56,1843,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
377,1.14,1873,0,0,1,0.46,0.147,0.22,0.024,0.149,1,0.605,0.48,1.2,0.78
293,21.4,1673,0,1,0,0.153,0.084,0.477,0.0,0.285,1,0.605,0.48,0.0,0.78
64,11.5,1773,1,0,0,0.394,0.361,0.245,0.0,0.0,1,0.605,0.48,0.0,0.0
30,66.6,1714,1,0,0,0.35,0.1,0.55,0.0,0.0,1,0.605,0.48,0.0,0.0
133,0.7,1873,1,0,0,0.202,0.398,0.0,0.4,0.0,1,0.605,0.0,1.2,0.0
106,42.3,1723,1,0,0,0.342,0.125,0.532,0.0,0.0,1,0.605,0.48,0.0,0.0
289,15.0,1673,0,1,0,0.312,0.057,0.486,0.0,0.145,1,0.605,0.48,0.0,0.78
212,4.6,1733,0,1,0,0.414,0.087,0.352,0.0,0.147,1,0.605,0.48,0.0,0.78
269,7.2,1723,0,1,0,0.441,0.121,0.36,0.0,0.077,1,0.605,0.48,0.0,0.78
46,4.7,1873,1,0,0,0.394,0.361,0.245,0.0,0.0,1,0.605,0.48,0.0,0.0
74,19.0,1773,1,0,0,0.366,0.235,0.399,0.0,0.0,1,0.605,0.48,0.0,0.0
323,23.3,1623,0,1,0,0.26,0.086,0.437,0.0,0.217,1,0.605,0.48,0.0,0.78
44,2.3,1873,1,0,0,0.646,0.355,0.0,0.0,0.0,1,0.605,0.0,0.0,0.0
117,21.5,1673,1,0,0,0.453,0.125,0.423,0.0,0.0,1,0.605,0.48,0.0,0.0
222,2.61,1823,0,1,0,0.423,0.087,0.343,0.0,0.147,1,0.605,0.48,0.0,0.78
421,2.09,1793,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
429,3.44,1763,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
434,2.69,1753,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
380,0.55,1873,0,0,1,0.578,0.145,0.098,0.033,0.146,1,0.605,0.48,1.2,0.78
141,0.6,1873,1,0,0,0.422,0.241,0.0,0.336,0.0,1,0.605,0.0,1.2,0.0
210,4.14,1733,0,1,0,0.423,0.087,0.343,0.0,0.147,1,0.605,0.48,0.0,0.78
327,14.2,1623,0,1,0,0.356,0.028,0.475,0.0,0.141,1,0.605,0.48,0.0,0.78
57,2.8,1823,1,0,0,0.539,0.059,0.402,0.0,0.0,1,0.605,0.48,0.0,0.0
90,32.6,1773,1,0,0,0.328,0.06,0.612,0.0,0.0,1,0.605,0.48,0.0,0.0
177,4.4,1773,0,1,0,0.356,0.028,0.475,0.0,0.141,1,0.605,0.48,0.0,0.78
104,12.1,1723,1,0,0,0.434,0.06,0.506,0.0,0.0,1,0.605,0.48,0.0,0.0
50,4.4,1873,1,0,0,0.474,0.195,0.332,0.0,0.0,1,0.605,0.48,0.0,0.0
424,3.97,1783,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
301,9.97,1673,0,1,0,0.37,0.087,0.395,0.0,0.147,1,0.605,0.48,0.0,0.78
266,4.6,1723,0,1,0,0.485,0.089,0.352,0.0,0.075,1,0.605,0.48,0.0,0.78
347,1.02,1773,0,0,1,0.592,0.148,0.151,0.035,0.075,1,0.605,0.48,1.2,0.78
180,7.53,1773,0,1,0,0.372,0.058,0.496,0.0,0.074,1,0.605,0.48,0.0,0.78
128,73.2,1673,1,0,0,0.335,0.092,0.573,0.0,0.0,1,0.605,0.48,0.0,0.0
366,1.21,1823,0,0,1,0.543,0.201,0.088,0.085,0.082,1,0.605,0.48,1.2,0.78
413,1.63,1813,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
109,25.0,1723,1,0,0,0.373,0.029,0.597,0.0,0.0,1,0.605,0.48,0.0,0.0
396,1.21,1863,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
26,27.4,1740,1,0,0,0.4,0.15,0.45,0.0,0.0,1,0.605,0.48,0.0,0.0
217,2.86,1823,0,1,0,0.419,0.106,0.326,0.0,0.149,1,0.605,0.48,0.0,0.78
150,3.21,1773,0,1,0,0.431,0.087,0.336,0.0,0.147,1,0.605,0.48,0.0,0.78
431,1.56,1763,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
240,17.2,1723,0,1,0,0.272,0.12,0.457,0.0,0.151,1,0.605,0.48,0.0,0.78
232,3.98,1723,0,1,0,0.348,0.027,0.417,0.0,0.207,1,0.605,0.48,0.0,0.78
416,3.14,1803,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
28,19.5,1714,1,0,0,0.45,0.15,0.4,0.0,0.0,1,0.605,0.48,0.0,0.0
309,6.0,1673,0,1,0,0.422,0.087,0.344,0.0,0.147,1,0.605,0.48,0.0,0.78
178,4.15,1773,0,1,0,0.299,0.027,0.465,0.0,0.208,1,0.605,0.48,0.0,0.78
163,4.1,1773,0,1,0,0.378,0.119,0.353,0.0,0.15,1,0.605,0.48,0.0,0.78
10,30.0,1791,1,0,0,0.35,0.15,0.5,0.0,0.0,1,0.605,0.48,0.0,0.0
40,1.7,1923,1,0,0,0.615,0.27,0.115,0.0,0.0,1,0.605,0.48,0.0,0.0
213,4.75,1733,0,1,0,0.421,0.083,0.357,0.0,0.139,1,0.605,0.48,0.0,0.78
181,7.09,1773,0,1,0,0.312,0.057,0.486,0.0,0.145,1,0.605,0.48,0.0,0.78
282,26.3,1673,0,1,0,0.272,0.12,0.457,0.0,0.151,1,0.605,0.48,0.0,0.78
349,1.33,1773,0,0,1,0.599,0.15,0.153,0.023,0.076,1,0.605,0.48,1.2,0.78
66,3.9,1773,1,0,0,0.539,0.059,0.402,0.0,0.0,1,0.605,0.48,0.0,0.0
385,0.89,1873,0,0,1,0.612,0.191,0.076,0.042,0.08,1,0.605,0.48,1.2,0.78
426,1.52,1783,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
246,10.9,1723,0,1,0,0.372,0.058,0.496,0.0,0.074,1,0.605,0.48,0.0,0.78
384,0.69,1873,0,0,1,0.57,0.179,0.087,0.084,0.081,1,0.605,0.48,1.2,0.78
419,0.89,1803,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
193,4.28,1773,0,1,0,0.37,0.087,0.395,0.0,0.147,1,0.605,0.48,0.0,0.78
96,8.22,1723,1,0,0,0.497,0.091,0.412,0.0,0.0,1,0.605,0.48,0.0,0.0
300,11.89,1673,0,1,0,0.432,0.089,0.403,0.0,0.075,1,0.605,0.48,0.0,0.78
157,3.48,1773,0,1,0,0.351,0.104,0.327,0.0,0.219,1,0.605,0.48,0.0,0.78
356,0.81,1823,0,0,1,0.603,0.179,0.054,0.083,0.081,1,0.605,0.48,1.2,0.78
41,3.3,1923,1,0,0,0.474,0.195,0.332,0.0,0.0,1,0.605,0.48,0.0,0.0
221,2.39,1823,0,1,0,0.408,0.068,0.364,0.0,0.16,1,0.605,0.48,0.0,0.78
80,4.88,1773,1,0,0,0.487,0.059,0.454,0.0,0.0,1,0.605,0.48,0.0,0.0
351,1.81,1773,0,0,1,0.49,0.157,0.192,0.082,0.079,1,0.605,0.48,1.2,0.78
304,21.48,1673,0,1,0,0.453,0.125,0.423,0.0,0.0,1,0.605,0.48,0.0,0.0
234,6.9,1723,0,1,0,0.363,0.057,0.436,0.0,0.144,1,0.605,0.48,0.0,0.78
394,0.54,1873,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
299,13.23,1673,0,1,0,0.497,0.091,0.412,0.0,0.0,1,0.605,0.48,0.0,0.0
101,12.5,1723,1,0,0,0.443,0.091,0.465,0.0,0.0,1,0.605,0.48,0.0,0.0
257,8.22,1723,0,1,0,0.497,0.091,0.412,0.0,0.0,1,0.605,0.48,0.0,0.0
260,5.33,1723,0,1,0,0.311,0.086,0.387,0.0,0.216,1,0.605,0.48,0.0,0.78
25,26.7,1740,1,0,0,0.4,0.2,0.4,0.0,0.0,1,0.605,0.48,0.0,0.0
93,18.9,1723,1,0,0,0.416,0.196,0.388,0.0,0.0,1,0.605,0.48,0.0,0.0
248,8.9,1723,0,1,0,0.255,0.056,0.476,0.0,0.213,1,0.605,0.48,0.0,0.78
169,4.07,1773,0,1,0,0.305,0.056,0.427,0.0,0.212,1,0.605,0.48,0.0,0.78
100,7.57,1723,1,0,0,0.487,0.059,0.454,0.0,0.0,1,0.605,0.48,0.0,0.0
1,7.0,1816,1,0,0,0.45,0.1,0.45,0.0,0.0,1,0.605,0.48,0.0,0.0
189,2.62,1773,0,1,0,0.355,0.056,0.378,0.0,0.211,1,0.605,0.48,0.0,0.78
147,2.4,1773,1,0,0,0.393,0.415,0.0,0.192,0.0,1,0.605,0.0,1.2,0.0
119,69.4,1673,1,0,0,0.358,0.197,0.445,0.0,0.0,1,0.605,0.48,0.0,0.0
226,3.25,1823,0,1,0,0.432,0.098,0.349,0.0,0.121,1,0.605,0.48,0.0,0.78
405,1.02,1843,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
262,13.69,1723,0,1,0,0.453,0.125,0.423,0.0,0.0,1,0.605,0.48,0.0,0.0
383,0.68,1873,0,0,1,0.575,0.177,0.086,0.083,0.08,1,0.605,0.48,1.2,0.78
308,7.0,1673,0,1,0,0.485,0.089,0.352,0.0,0.075,1,0.605,0.48,0.0,0.78
59,6.1,1823,1,0,0,0.474,0.195,0.332,0.0,0.0,1,0.605,0.48,0.0,0.0
203,4.8,1773,0,1,0,0.441,0.121,0.36,0.0,0.077,1,0.605,0.48,0.0,0.78
195,3.84,1773,0,1,0,0.254,0.084,0.379,0.0,0.283,1,0.605,0.48,0.0,0.78
357,1.46,1823,0,0,1,0.46,0.147,0.22,0.024,0.149,1,0.605,0.48,1.2,0.78
8,8.5,1791,1,0,0,0.45,0.1,0.45,0.0,0.0,1,0.605,0.48,0.0,0.0
362,0.81,1823,0,0,1,0.581,0.179,0.076,0.083,0.081,1,0.605,0.48,1.2,0.78
162,2.6,1773,0,1,0,0.362,0.085,0.338,0.0,0.216,1,0.605,0.48,0.0,0.78
42,3.0,1923,1,0,0,0.453,0.124,0.423,0.0,0.0,1,0.605,0.48,0.0,0.0
401,0.93,1853,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
263,11.26,1723,0,1,0,0.388,0.122,0.413,0.0,0.077,1,0.605,0.48,0.0,0.78
287,8.08,1673,0,1,0,0.245,0.027,0.456,0.0,0.272,1,0.605,0.48,0.0,0.78
110,51.7,1723,1,0,0,0.328,0.06,0.612,0.0,0.0,1,0.605,0.48,0.0,0.0
352,4.72,1773,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
98,21.7,1723,1,0,0,0.407,0.16,0.434,0.0,0.0,1,0.605,0.48,0.0,0.0
214,5.3,1733,0,1,0,0.432,0.098,0.349,0.0,0.121,1,0.605,0.48,0.0,0.78
19,20.9,1765,1,0,0,0.4,0.15,0.45,0.0,0.0,1,0.605,0.48,0.0,0.0
386,0.9,1873,0,0,1,0.543,0.201,0.088,0.085,0.082,1,0.605,0.48,1.2,0.78
343,1.21,1773,0,0,1,0.575,0.177,0.086,0.083,0.08,1,0.605,0.48,1.2,0.78
71,4.96,1773,1,0,0,0.508,0.124,0.368,0.0,0.0,1,0.605,0.48,0.0,0.0
63,6.0,1773,1,0,0,0.608,0.392,0.0,0.0,0.0,1,0.605,0.0,0.0,0.0
118,34.9,1673,1,0,0,0.407,0.16,0.434,0.0,0.0,1,0.605,0.48,0.0,0.0
295,6.77,1673,0,1,0,0.475,0.058,0.394,0.0,0.073,1,0.605,0.48,0.0,0.78
261,5.55,1723,0,1,0,0.254,0.084,0.379,0.0,0.283,1,0.605,0.48,0.0,0.78
333,19.5,1623,0,1,0,0.2,0.055,0.467,0.0,0.278,1,0.605,0.48,0.0,0.78
402,0.58,1853,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
270,5.3,1673,0,1,0,0.362,0.085,0.338,0.0,0.216,1,0.605,0.48,0.0,0.78
68,9.2,1773,1,0,0,0.474,0.195,0.332,0.0,0.0,1,0.605,0.48,0.0,0.0
202,3.9,1773,0,1,0,0.317,0.116,0.346,0.0,0.221,1,0.605,0.48,0.0,0.78
173,6.68,1773,0,1,0,0.26,0.086,0.437,0.0,0.217,1,0.605,0.48,0.0,0.78
136,0.53,1873,1,0,0,0.503,0.219,0.0,0.278,0.0,1,0.605,0.0,1.2,0.0
29,16.6,1714,1,0,0,0.45,0.1,0.45,0.0,0.0,1,0.605,0.48,0.0,0.0
224,2.88,1823,0,1,0,0.414,0.087,0.352,0.0,0.147,1,0.605,0.48,0.0,0.78
411,0.6,1833,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
144,0.99,1773,1,0,0,0.36,0.262,0.0,0.378,0.0,1,0.605,0.0,1.2,0.0
412,2.81,1813,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
127,35.7,1673,1,0,0,0.381,0.06,0.559,0.0,0.0,1,0.605,0.48,0.0,0.0
403,0.49,1853,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
186,4.01,1773,0,1,0,0.539,0.059,0.402,0.0,0.0,1,0.605,0.48,0.0,0.0
145,1.03,1773,1,0,0,0.358,0.262,0.0,0.38,0.0,1,0.605,0.0,1.2,0.0
374,0.88,1823,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
0,7.6,1816,1,0,0,0.45,0.15,0.4,0.0,0.0,1,0.605,0.48,0.0,0.0
273,13.0,1673,0,1,0,0.332,0.152,0.362,0.0,0.154,1,0.605,0.48,0.0,0.78
34,30.8,1714,1,0,0,0.4,0.1,0.5,0.0,0.0,1,0.605,0.48,0.0,0.0
176,8.41,1773,0,1,0,0.157,0.115,0.438,0.0,0.29,1,0.605,0.48,0.0,0.78
124,19.2,1673,1,0,0,0.434,0.06,0.506,0.0,0.0,1,0.605,0.48,0.0,0.0
192,5.02,1773,0,1,0,0.432,0.089,0.403,0.0,0.075,1,0.605,0.48,0.0,0.78
125,34.7,1673,1,0,0,0.389,0.092,0.519,0.0,0.0,1,0.605,0.48,0.0,0.0
2,24.5,1816,1,0,0,0.35,0.1,0.55,0.0,0.0,1,0.605,0.48,0.0,0.0
432,6.39,1753,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
