index,viscosity,T,3d,4d,5d,CaO,Al2O3,SiO2,CaF2,MgO,OBforCaO,OBforAl2O3,OBforSiO2,OBforCaF2,OBforMgO
38,3.6,1923,1,0,0,0.417,0.0,0.583,0.0,0.0,1,0.0,0.48,0.0,0.0
229,5.4,1723,0,1,0,0.378,0.119,0.353,0.0,0.15,1,0.605,0.48,0.0,0.78
336,1.15,1773,0,0,1,0.603,0.179,0.054,0.083,0.081,1,0.605,0.48,1.2,0.78
165,5.6,1773,0,1,0,0.332,0.152,0.362,0.0,0.154,1,0.605,0.48,0.0,0.78
225,2.91,1823,0,1,0,0.421,0.083,0.357,0.0,0.139,1,0.605,0.48,0.0,0.78
425,2.5,1783,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
24,49.5,1740,1,0,0,0.35,0.15,0.5,0.0,0.0,1,0.605,0.48,0.0,0.0
201,2.7,1773,0,1,0,0.422,0.087,0.344,0.0,0.147,1,0.605,0.48,0.0,0.78
267,3.9,1723,0,1,0,0.422,0.087,0.344,0.0,0.147,1,0.605,0.48,0.0,0.78
274,5.68,1673,0,1,0,0.348,0.027,0.417,0.0,0.207,1,0.605,0.48,0.0,0.78
84,8.23,1773,1,0,0,0.434,0.06,0.506,0.0,0.0,1,0.605,0.48,0.0,0.0
422,1.31,1793,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
315,21.5,1623,0,1,0,0.332,0.152,0.362,0.0,0.154,1,0.605,0.48,0.0,0.78
372,2.48,1823,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
271,8.2,1673,0,1,0,0.378,0.119,0.353,0.0,0.15,1,0.605,0.48,0.0,0.78
184,10.9,1773,0,1,0,0.209,0.086,0.487,0.0,0.218,1,0.605,0.48,0.0,0.78
58,3.3,1823,1,0,0,0.615,0.27,0.115,0.0,0.0,1,0.605,0.48,0.0,0.0
318,16.0,1623,0,1,0,0.363,0.057,0.436,0.0,0.144,1,0.605,0.48,0.0,0.78
252,5.23,1723,0,1,0,0.539,0.059,0.402,0.0,0.0,1,0.605,0.48,0.0,0.0
247,9.92,1723,0,1,0,0.312,0.057,0.486,0.0,0.145,1,0.605,0.48,0.0,0.78
76,5.16,1773,1,0,0,0.497,0.091,0.412,0.0,0.0,1,0.605,0.48,0.0,0.0
219,3.72,1823,0,1,0,0.385,0.106,0.36,0.0,0.149,1,0.605,0.48,0.0,0.78
154,3.92,1773,0,1,0,0.405,0.087,0.361,0.0,0.147,1,0.605,0.48,0.0,0.78
7,9.5,1791,1,0,0,0.45,0.15,0.4,0.0,0.0,1,0.605,0.48,0.0,0.0
365,1.2,1823,0,0,1,0.612,0.191,0.076,0.042,0.08,1,0.605,0.48,1.2,0.78
65,9.3,1773,1,0,0,0.417,0.0,0.583,0.0,0.0,1,0.0,0.48,0.0,0.0
62,5.7,1773,1,0,0,0.646,0.355,0.0,0.0,0.0,1,0.605,0.0,0.0,0.0
298,5.5,1673,0,1,0,0.298,0.055,0.371,0.0,0.276,1,0.605,0.48,0.0,0.78
371,1.31,1823,0,0,1,0.49,0.157,0.192,0.082,0.079,1,0.605,0.48,1.2,0.78
223,2.68,1823,0,1,0,0.351,0.104,0.327,0.0,0.219,1,0.605,0.48,0.0,0.78
82,15.0,1773,1,0,0,0.398,0.125,0.477,0.0,0.0,1,0.605,0.48,0.0,0.0
231,8.1,1723,0,1,0,0.332,0.152,0.362,0.0,0.154,1,0.605,0.48,0.0,0.78
254,4.27,1723,0,1,0,0.413,0.057,0.386,0.0,0.144,1,0.605,0.48,0.0,0.78
316,9.03,1623,0,1,0,0.348,0.027,0.417,0.0,0.207,1,0.605,0.48,0.0,0.78
329,12.1,1623,0,1,0,0.245,0.027,0.456,0.0,0.272,1,0.605,0.48,0.0,0.78
115,8.33,1673,1,0,0,0.539,0.059,0.402,0.0,0.0,1,0.605,0.48,0.0,0.0
97,13.7,1723,1,0,0,0.453,0.125,0.423,0.0,0.0,1,0.605,0.48,0.0,0.0
272,15.3,1673,0,1,0,0.396,0.156,0.37,0.0,0.079,1,0.605,0.48,0.0,0.78
160,4.22,1773,0,1,0,0.432,0.098,0.349,0.0,0.121,1,0.605,0.48,0.0,0.78
61,6.2,1823,1,0,0,0.434,0.06,0.506,0.0,0.0,1,0.605,0.48,0.0,0.0
130,81.6,1673,1,0,0,0.328,0.06,0.612,0.0,0.0,1,0.605,0.48,0.0,0.0
15,10.5,1765,1,0,0,0.45,0.1,0.45,0.0,0.0,1,0.605,0.48,0.0,0.0
86,30.2,1773,1,0,0,0.342,0.125,0.532,0.0,0.0,1,0.605,0.48,0.0,0.0
354,1.85,1773,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
156,3.42,1773,0,1,0,0.423,0.087,0.343,0.0,0.147,1,0.605,0.48,0.0,0.78
328,12.6,1623,0,1,0,0.299,0.027,0.465,0.0,0.208,1,0.605,0.48,0.0,0.78
194,3.72,1773,0,1,0,0.311,0.086,0.387,0.0,0.216,1,0.605,0.48,0.0,0.78
140,0.5,1873,1,0,0,0.413,0.273,0.0,0.314,0.0,1,0.605,0.0,1.2,0.0
259,6.5,1723,0,1,0,0.37,0.087,0.395,0.0,0.147,1,0.605,0.48,0.0,0.78
256,3.78,1723,0,1,0,0.298,0.055,0.371,0.0,0.276,1,0.605,0.48,0.0,0.78
187,3.29,1773,0,1,0,0.475,0.058,0.394,0.0,0.073,1,0.605,0.48,0.0,0.78
314,25.5,1623,0,1,0,0.396,0.156,0.37,0.0,0.079,1,0.605,0.48,0.0,0.78
87,15.1,1773,1,0,0,0.381,0.06,0.559,0.0,0.0,1,0.605,0.48,0.0,0.0
255,3.64,1723,0,1,0,0.355,0.056,0.378,0.0,0.211,1,0.605,0.48,0.0,0.78
373,1.39,1823,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
39,1.6,1923,1,0,0,0.539,0.059,0.402,0.0,0.0,1,0.605,0.48,0.0,0.0
215,7.0,1733,0,1,0,0.459,0.108,0.357,0.0,0.076,1,0.605,0.48,0.0,0.78
99,39.5,1723,1,0,0,0.358,0.197,0.445,0.0,0.0,1,0.605,0.48,0.0,0.0
107,22.3,1723,1,0,0,0.381,0.06,0.559,0.0,0.0,1,0.605,0.48,0.0,0.0
3,23.8,1816,1,0,0,0.35,0.15,0.5,0.0,0.0,1,0.605,0.48,0.0,0.0
123,70.1,1673,1,0,0,0.35,0.16,0.49,0.0,0.0,1,0.605,0.48,0.0,0.0
397,0.87,1863,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
18,20.6,1765,1,0,0,0.4,0.2,0.4,0.0,0.0,1,0.605,0.48,0.0,0.0
353,2.93,1773,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
303,8.34,1673,0,1,0,0.254,0.084,0.379,0.0,0.283,1,0.605,0.48,0.0,0.78
280,15.1,1673,0,1,0,0.319,0.088,0.446,0.0,0.148,1,0.605,0.48,0.0,0.78
102,22.6,1723,1,0,0,0.398,0.125,0.477,0.0,0.0,1,0.605,0.48,0.0,0.0
122,37.1,1673,1,0,0,0.398,0.125,0.477,0.0,0.0,1,0.605,0.48,0.0,0.0
288,16.9,1673,0,1,0,0.372,0.058,0.496,0.0,0.074,1,0.605,0.48,0.0,0.78
379,0.51,1873,0,0,1,0.604,0.15,0.085,0.082,0.079,1,0.605,0.48,1.2,0.78
291,12.2,1673,0,1,0,0.2,0.055,0.467,0.0,0.278,1,0.605,0.48,0.0,0.78
285,9.07,1673,0,1,0,0.356,0.028,0.475,0.0,0.141,1,0.605,0.48,0.0,0.78
290,13.1,1673,0,1,0,0.255,0.056,0.476,0.0,0.213,1,0.605,0.48,0.0,0.78
175,9.71,1773,0,1,0,0.213,0.117,0.447,0.0,0.222,1,0.605,0.48,0.0,0.78
317,16.9,1623,0,1,0,0.423,0.058,0.445,0.0,0.074,1,0.605,0.48,0.0,0.78
108,44.8,1723,1,0,0,0.335,0.092,0.573,0.0,0.0,1,0.605,0.48,0.0,0.0
361,0.6,1823,0,0,1,0.538,0.167,0.087,0.126,0.081,1,0.605,0.48,1.2,0.78
313,13.7,1623,0,1,0,0.378,0.119,0.353,0.0,0.15,1,0.605,0.48,0.0,0.78
51,4.3,1873,1,0,0,0.453,0.124,0.423,0.0,0.0,1,0.605,0.48,0.0,0.0
49,2.3,1873,1,0,0,0.615,0.27,0.115,0.0,0.0,1,0.605,0.48,0.0,0.0
152,4.61,1773,0,1,0,0.441,0.115,0.343,0.0,0.102,1,0.605,0.48,0.0,0.78
420,3.68,1793,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
161,5.12,1773,0,1,0,0.459,0.108,0.357,0.0,0.076,1,0.605,0.48,0.0,0.78
399,0.49,1863,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
121,19.4,1673,1,0,0,0.443,0.091,0.465,0.0,0.0,1,0.605,0.48,0.0,0.0
158,3.66,1773,0,1,0,0.414,0.087,0.352,0.0,0.147,1,0.605,0.48,0.0,0.78
197,7.69,1773,0,1,0,0.388,0.122,0.413,0.0,0.077,1,0.605,0.48,0.0,0.78
381,0.48,1873,0,0,1,0.538,0.167,0.087,0.126,0.081,1,0.605,0.48,1.2,0.78
228,3.6,1723,0,1,0,0.362,0.085,0.338,0.0,0.216,1,0.605,0.48,0.0,0.78
14,11.9,1765,1,0,0,0.45,0.15,0.4,0.0,0.0,1,0.605,0.48,0.0,0.0
23,50.3,1740,1,0,0,0.35,0.1,0.55,0.0,0.0,1,0.605,0.48,0.0,0.0
132,0.65,1873,1,0,0,0.128,0.311,0.0,0.561,0.0,1,0.605,0.0,1.2,0.0
350,2.11,1773,0,0,1,0.507,0.232,0.09,0.087,0.084,1,0.605,0.48,1.2,0.78
112,19.9,1673,1,0,0,0.463,0.159,0.378,0.0,0.0,1,0.605,0.48,0.0,0.0
43,3.4,1923,1,0,0,0.434,0.06,0.506,0.0,0.0,1,0.605,0.48,0.0,0.0
89,17.1,1773,1,0,0,0.373,0.029,0.597,0.0,0.0,1,0.605,0.48,0.0,0.0
13,14.9,1791,1,0,0,0.4,0.1,0.5,0.0,0.0,1,0.605,0.48,0.0,0.0
237,11.1,1723,0,1,0,0.38,0.089,0.455,0.0,0.075,1,0.605,0.48,0.0,0.78
36,2.0,1923,1,0,0,0.608,0.392,0.0,0.0,0.0,1,0.605,0.0,0.0,0.0
335,35.0,1623,0,1,0,0.153,0.084,0.477,0.0,0.285,1,0.605,0.48,0.0,0.78
220,3.01,1823,0,1,0,0.405,0.087,0.361,0.0,0.147,1,0.605,0.48,0.0,0.78
70,8.6,1773,1,0,0,0.434,0.06,0.506,0.0,0.0,1,0.605,0.48,0.0,0.0
238,9.8,1723,0,1,0,0.319,0.088,0.446,0.0,0.148,1,0.605,0.48,0.0,0.78
367,0.79,1823,0,0,1,0.592,0.148,0.151,0.035,0.075,1,0.605,0.48,1.2,0.78
360,0.79,1823,0,0,1,0.578,0.145,0.098,0.033,0.146,1,0.605,0.48,1.2,0.78
55,7.4,1823,1,0,0,0.394,0.361,0.245,0.0,0.0,1,0.605,0.48,0.0,0.0
268,5.7,1723,0,1,0,0.317,0.116,0.346,0.0,0.221,1,0.605,0.48,0.0,0.78
430,2.27,1763,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
88,28.6,1773,1,0,0,0.335,0.092,0.573,0.0,0.0,1,0.605,0.48,0.0,0.0
159,3.81,1773,0,1,0,0.421,0.083,0.357,0.0,0.139,1,0.605,0.48,0.0,0.78
151,3.54,1773,0,1,0,0.419,0.106,0.326,0.0,0.149,1,0.605,0.48,0.0,0.78
207,6.51,1733,0,1,0,0.385,0.106,0.36,0.0,0.149,1,0.605,0.48,0.0,0.78
167,4.79,1773,0,1,0,0.423,0.058,0.445,0.0,0.074,1,0.605,0.48,0.0,0.78
410,0.78,1833,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
78,14.3,1773,1,0,0,0.407,0.16,0.434,0.0,0.0,1,0.605,0.48,0.0,0.0
191,5.16,1773,0,1,0,0.497,0.091,0.412,0.0,0.0,1,0.605,0.48,0.0,0.0
164,6.5,1773,0,1,0,0.396,0.156,0.37,0.0,0.079,1,0.605,0.48,0.0,0.78
375,0.69,1823,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
250,16.2,1723,0,1,0,0.209,0.086,0.487,0.0,0.218,1,0.605,0.48,0.0,0.78
358,0.78,1823,0,0,1,0.638,0.146,0.075,0.03,0.111,1,0.605,0.48,1.2,0.78
95,5.23,1723,1,0,0,0.539,0.059,0.402,0.0,0.0,1,0.605,0.48,0.0,0.0
395,0.43,1873,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
391,1.0,1873,0,0,1,0.49,0.157,0.192,0.082,0.079,1,0.605,0.48,1.2,0.78
433,4.09,1753,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
135,0.5,1873,1,0,0,0.451,0.3,0.0,0.249,0.0,1,0.605,0.0,1.2,0.0
279,17.3,1673,0,1,0,0.38,0.089,0.455,0.0,0.075,1,0.605,0.48,0.0,0.78
428,5.55,1763,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
322,24.3,1623,0,1,0,0.319,0.088,0.446,0.0,0.148,1,0.605,0.48,0.0,0.78
310,8.9,1673,0,1,0,0.317,0.116,0.346,0.0,0.221,1,0.605,0.48,0.0,0.78
148,1.49,1773,1,0,0,0.312,0.415,0.0,0.273,0.0,1,0.605,0.0,1.2,0.0
393,0.79,1873,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
45,2.7,1873,1,0,0,0.608,0.392,0.0,0.0,0.0,1,0.605,0.0,0.0,0.0
67,5.0,1773,1,0,0,0.615,0.27,0.115,0.0,0.0,1,0.605,0.48,0.0,0.0
21,15.1,1740,1,0,0,0.45,0.15,0.4,0.0,0.0,1,0.605,0.48,0.0,0.0
179,3.93,1773,0,1,0,0.245,0.027,0.456,0.0,0.272,1,0.605,0.48,0.0,0.78
134,0.5,1873,1,0,0,0.284,0.216,0.0,0.5,0.0,1,0.605,0.0,1.2,0.0
131,0.6,1873,1,0,0,0.115,0.235,0.0,0.65,0.0,1,0.605,0.0,1.2,0.0
171,7.6,1773,0,1,0,0.38,0.089,0.455,0.0,0.075,1,0.605,0.48,0.0,0.78
27,24.0,1740,1,0,0,0.4,0.1,0.5,0.0,0.0,1,0.605,0.48,0.0,0.0
5,13.0,1816,1,0,0,0.4,0.15,0.45,0.0,0.0,1,0.605,0.48,0.0,0.0
142,0.5,1873,1,0,0,0.432,0.207,0.0,0.361,0.0,1,0.605,0.0,1.2,0.0
94,31.4,1723,1,0,0,0.366,0.235,0.399,0.0,0.0,1,0.605,0.48,0.0,0.0
53,3.5,1823,1,0,0,0.646,0.355,0.0,0.0,0.0,1,0.605,0.0,0.0,0.0
388,0.81,1873,0,0,1,0.53,0.178,0.129,0.083,0.08,1,0.605,0.48,1.2,0.78
284,19.1,1673,0,1,0,0.157,0.115,0.438,0.0,0.29,1,0.605,0.48,0.0,0.78
363,0.9,1823,0,0,1,0.575,0.177,0.086,0.083,0.08,1,0.605,0.48,1.2,0.78
75,4.01,1773,1,0,0,0.539,0.059,0.402,0.0,0.0,1,0.605,0.48,0.0,0.0
12,16.2,1791,1,0,0,0.4,0.15,0.45,0.0,0.0,1,0.605,0.48,0.0,0.0
185,9.51,1773,0,1,0,0.153,0.084,0.477,0.0,0.285,1,0.605,0.48,0.0,0.78
143,1.1,1773,1,0,0,0.439,0.262,0.0,0.299,0.0,1,0.605,0.0,1.2,0.0
183,5.88,1773,0,1,0,0.2,0.055,0.467,0.0,0.278,1,0.605,0.48,0.0,0.78
302,8.02,1673,0,1,0,0.311,0.086,0.387,0.0,0.216,1,0.605,0.48,0.0,0.78
172,6.76,1773,0,1,0,0.319,0.088,0.446,0.0,0.148,1,0.605,0.48,0.0,0.78
400,1.6,1853,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
139,0.6,1873,1,0,0,0.363,0.293,0.0,0.344,0.0,1,0.605,0.0,1.2,0.0
355,1.37,1773,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
408,2.2,1833,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
253,4.6,1723,0,1,0,0.475,0.058,0.394,0.0,0.073,1,0.605,0.48,0.0,0.78
20,18.9,1765,1,0,0,0.4,0.1,0.5,0.0,0.0,1,0.605,0.48,0.0,0.0
427,1.2,1783,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
211,4.75,1733,0,1,0,0.351,0.104,0.327,0.0,0.219,1,0.605,0.48,0.0,0.78
311,11.4,1673,0,1,0,0.441,0.121,0.36,0.0,0.077,1,0.605,0.48,0.0,0.78
364,0.9,1823,0,0,1,0.57,0.179,0.087,0.084,0.081,1,0.605,0.48,1.2,0.78
319,13.4,1623,0,1,0,0.305,0.056,0.427,0.0,0.212,1,0.605,0.48,0.0,0.78
312,8.3,1623,0,1,0,0.362,0.085,0.338,0.0,0.216,1,0.605,0.48,0.0,0.78
56,6.8,1823,1,0,0,0.417,0.0,0.583,0.0,0.0,1,0.0,0.48,0.0,0.0
166,2.84,1773,0,1,0,0.348,0.027,0.417,0.0,0.207,1,0.605,0.48,0.0,0.78
111,13.6,1673,1,0,0,0.508,0.124,0.368,0.0,0.0,1,0.605,0.48,0.0,0.0
149,1.8,1773,1,0,0,0.417,0.312,0.0,0.271,0.0,1,0.605,0.0,1.2,0.0
114,54.7,1673,1,0,0,0.366,0.235,0.399,0.0,0.0,1,0.605,0.48,0.0,0.0
276,10.2,1673,0,1,0,0.363,0.057,0.436,0.0,0.144,1,0.605,0.48,0.0,0.78
241,14.2,1723,0,1,0,0.213,0.117,0.447,0.0,0.222,1,0.605,0.48,0.0,0.78
296,6.4,1673,0,1,0,0.413,0.057,0.386,0.0,0.144,1,0.605,0.48,0.0,0.78
338,1.7,1773,0,0,1,0.638,0.146,0.075,0.03,0.111,1,0.605,0.48,1.2,0.78
174,13.3,1773,0,1,0,0.272,0.12,0.457,0.0,0.151,1,0.605,0.48,0.0,0.78
265,8.37,1723,0,1,0,0.265,0.117,0.396,0.0,0.222,1,0.605,0.48,0.0,0.78
4,12.7,1816,1,0,0,0.4,0.2,0.4,0.0,0.0,1,0.605,0.48,0.0,0.0
286,8.19,1673,0,1,0,0.299,0.027,0.465,0.0,0.208,1,0.605,0.48,0.0,0.78
244,5.6,1723,0,1,0,0.299,0.027,0.465,0.0,0.208,1,0.605,0.48,0.0,0.78
236,12.6,1723,0,1,0,0.443,0.091,0.465,0.0,0.0,1,0.605,0.48,0.0,0.0
417,1.81,1803,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
16,38.7,1765,1,0,0,0.35,0.1,0.55,0.0,0.0,1,0.605,0.48,0.0,0.0
325,36.0,1623,0,1,0,0.213,0.117,0.447,0.0,0.222,1,0.605,0.48,0.0,0.78
359,0.61,1823,0,0,1,0.604,0.15,0.085,0.082,0.079,1,0.605,0.48,1.2,0.78
83,26.3,1773,1,0,0,0.35,0.16,0.49,0.0,0.0,1,0.605,0.48,0.0,0.0
392,0.92,1873,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
243,6.08,1723,0,1,0,0.356,0.028,0.475,0.0,0.141,1,0.605,0.48,0.0,0.78
73,11.6,1773,1,0,0,0.416,0.196,0.388,0.0,0.0,1,0.605,0.48,0.0,0.0
230,9.4,1723,0,1,0,0.396,0.156,0.37,0.0,0.079,1,0.605,0.48,0.0,0.78
227,4.0,1823,0,1,0,0.459,0.108,0.357,0.0,0.076,1,0.605,0.48,0.0,0.78
22,13.1,1740,1,0,0,0.45,0.1,0.45,0.0,0.0,1,0.605,0.48,0.0,0.0
69,9.2,1773,1,0,0,0.453,0.124,0.423,0.0,0.0,1,0.605,0.48,0.0,0.0
414,0.97,1813,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
120,11.6,1673,1,0,0,0.487,0.059,0.454,0.0,0.0,1,0.605,0.48,0.0,0.0
264,10.04,1723,0,1,0,0.325,0.119,0.405,0.0,0.151,1,0.605,0.48,0.0,0.78
205,4.39,1733,0,1,0,0.419,0.106,0.326,0.0,0.149,1,0.605,0.48,0.0,0.78
390,1.09,1873,0,0,1,0.507,0.232,0.09,0.087,0.084,1,0.605,0.48,1.2,0.78
334,37.8,1623,0,1,0,0.209,0.086,0.487,0.0,0.218,1,0.605,0.48,0.0,0.78
376,0.6,1873,0,0,1,0.603,0.179,0.054,0.083,0.081,1,0.605,0.48,1.2,0.78
52,4.5,1873,1,0,0,0.434,0.06,0.506,0.0,0.0,1,0.605,0.48,0.0,0.0
306,15.15,1673,0,1,0,0.325,0.119,0.405,0.0,0.151,1,0.605,0.48,0.0,0.78
283,21.85,1673,0,1,0,0.213,0.117,0.447,0.0,0.222,1,0.605,0.48,0.0,0.78
382,0.7,1873,0,0,1,0.581,0.179,0.076,0.083,0.081,1,0.605,0.48,1.2,0.78
170,8.54,1773,0,1,0,0.443,0.091,0.465,0.0,0.0,1,0.605,0.48,0.0,0.0
182,6.71,1773,0,1,0,0.255,0.056,0.476,0.0,0.213,1,0.605,0.48,0.0,0.78
72,7.53,1773,1,0,0,0.463,0.159,0.378,0.0,0.0,1,0.605,0.48,0.0,0.0
251,13.7,1723,0,1,0,0.153,0.084,0.477,0.0,0.285,1,0.605,0.48,0.0,0.78
324,43.1,1623,0,1,0,0.272,0.12,0.457,0.0,0.151,1,0.605,0.48,0.0,0.78
370,1.5,1823,0,0,1,0.507,0.232,0.09,0.087,0.084,1,0.605,0.48,1.2,0.78
105,21.9,1723,1,0,0,0.389,0.092,0.519,0.0,0.0,1,0.605,0.48,0.0,0.0
32,34.8,1714,1,0,0,0.4,0.2,0.4,0.0,0.0,1,0.605,0.48,0.0,0.0
245,5.53,1723,0,1,0,0.245,0.027,0.456,0.0,0.272,1,0.605,0.48,0.0,0.78
11,16.0,1791,1,0,0,0.4,0.2,0.4,0.0,0.0,1,0.605,0.48,0.0,0.0
91,7.6,1723,1,0,0,0.508,0.124,0.368,0.0,0.0,1,0.605,0.48,0.0,0.0
387,0.64,1873,0,0,1,0.592,0.148,0.151,0.035,0.075,1,0.605,0.48,1.2,0.78
81,8.54,1773,1,0,0,0.443,0.091,0.465,0.0,0.0,1,0.605,0.48,0.0,0.0
92,11.9,1723,1,0,0,0.463,0.159,0.378,0.0,0.0,1,0.605,0.48,0.0,0.0
129,39.4,1673,1,0,0,0.373,0.029,0.597,0.0,0.0,1,0.605,0.48,0.0,0.0
47,4.7,1873,1,0,0,0.417,0.0,0.583,0.0,0.0,1,0.0,0.48,0.0,0.0
341,0.79,1773,0,0,1,0.538,0.167,0.087,0.126,0.081,1,0.605,0.48,1.2,0.78
